User Input,Chatbot Response,Timestamp
hello,Hi there,2024-09-10 01:21:51
how are you ,My purpose is to assist you,2024-09-10 01:21:57
weather ,"I'm sorry, I cannot provide real-time weather information.",2024-09-10 01:22:20
How do I create a budget,"To make a budget, start by tracking your income and expenses. Then, allocate your income towards essential expenses like rent, food, and bills. Next, allocate some of your income towards savings and debt repayment. Finally, allocate the remainder of your income towards discretionary expenses like entertainment and hobbies.",2024-09-10 01:22:30
Today is a nice weather,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:29:52
How's the weather today,"I'm sorry, I cannot provide real-time weather information.",2024-10-03 08:30:47
Hi,Hello,2024-10-03 08:30:56
hi,Hi there,2024-12-10 19:47:30
what is history,"Mindfulness is the practice of being fully present in the moment, observing thoughts and feelings without judgment.",2024-12-10 19:48:05
hi,Hello! How can I assist you today?,2024-12-10 20:29:12
hii want appointment,You can book an appointment online through our website or call our helpline for assistance.,2024-12-10 20:29:20
hii want appointmentcan i get orthopedistrain,We value your feedback. You can fill out a feedback form online or speak to a customer service representative at our helpdesk.,2024-12-10 20:29:36
hi i am a patient,Dr. [Name] is available today at [time]. Let me know if you would like to book the slot.,2024-12-10 20:39:59
what specalist are there in your hospital,The dermatologist is available from 9 AM to 5 PM. Would you like to schedule a consultation?,2024-12-10 20:40:28
what facility are there in your hospital,The cardiologist is available from 10 AM to 2 PM. Would you like to book a time slot?,2024-12-10 20:40:38
i need help,We have an orthopedic department that is open every weekday. Let me know if you want to make an appointment.,2024-12-10 21:55:38
i want appointment,The cardiologist is available from 10 AM to 2 PM. Would you like to book a time slot?,2024-12-10 21:56:19
i am having headache . can u help me,The dermatologist is available from 9 AM to 5 PM. Would you like to schedule a consultation?,2024-12-10 21:56:53
how can i book an appointment,"You can book an appointment with a specialist online through our portal, or I can assist you with the booking process.",2024-12-10 21:57:45
when can i visit a paitent,The cardiologist is available from 10 AM to 2 PM. Would you like to book a time slot?,2024-12-10 21:59:23
when can i visit a patient?,Please be aware that some departments may have specific visiting hours. Check with the respective department for details.,2024-12-10 22:00:26
